network_id,network_name,category,mccs,mcc_low,mcc_high,pinless,registered,regulated,fraud,prepaid,tier,pre_auth,bid_fee,fee_type,price_type,price_fixed,price_percent,price_min,price_max,price_fraud,price_threshold_sign,price_threshold
2,ACCEL,Grocery / Supermarket,"5411,5300",null,null,0,null,0,null,null,4I,null,0,Interchange, F ,$0.2500,null,null,null, $-   , > , $15.0000 
2,ACCEL,Grocery / Supermarket,"5411,5300",null,null,0,null,0,null,null,3I,null,0,Interchange, F ,$0.2300,null,null,null, $-   , > , $15.0000 
2,ACCEL,Grocery / Supermarket,"5411,5300",null,null,0,null,0,null,null,2I,null,0,Interchange, F ,$0.2000,null,null,null, $-   , > , $15.0000 
2,ACCEL,Grocery / Supermarket,"5411,5300",null,null,0,null,0,null,null,1I,null,0,Interchange, F ,$0.1800,null,null,null, $-   , > , $15.0000 
2,ACCEL,QSR,5814,null,null,0,null,0,null,null,null,null,0,Interchange, V ,$0.1500,0.95%, $0.1500 ," $100,000.0000 ", $-   , > , $15.0000 
2,ACCEL,Petroleum,"5541,5542",null,null,0,null,0,null,null,4I,null,0,Interchange, V ,$0.1000,0.80%, $0.1000 , $0.9500 , $-   , > , $15.0000 
2,ACCEL,Petroleum,"5541,5542",null,null,0,null,0,null,null,3I,null,0,Interchange, V ,$0.1000,0.80%, $0.1000 , $0.9500 , $-   , > , $15.0000 
2,ACCEL,Petroleum,"5541,5542",null,null,0,null,0,null,null,2I,null,0,Interchange, V ,$0.1000,0.70%, $0.1000 , $0.9500 , $-   , > , $15.0000 
2,ACCEL,Petroleum,"5541,5542",null,null,0,null,0,null,null,1I,null,0,Interchange, V ,$0.0900,0.70%, $0.0900 , $0.9500 , $-   , > , $15.0000 
2,ACCEL,All Other Merchant Types,*,null,null,0,null,0,null,null,4I,null,0,Interchange, V ,$0.1000,0.85%, $0.1000 ," $100,000.0000 ", $-   , > , $15.0000 
2,ACCEL,All Other Merchant Types,*,null,null,0,null,0,null,null,3I,null,0,Interchange, V ,$0.1000,0.80%, $0.1000 ," $100,000.0000 ", $-   , > , $15.0000 
2,ACCEL,All Other Merchant Types,*,null,null,0,null,0,null,null,2I,null,0,Interchange, V ,$0.1100,0.55%, $0.1100 , $0.5500 , $-   , > , $15.0000 
2,ACCEL,All Other Merchant Types,*,null,null,0,null,0,null,null,1I,null,0,Interchange, V ,$0.0600,0.50%, $0.0600 , $0.4500 , $-   , > , $15.0000 
2,ACCEL,Grocery / Supermarket,"5411,5300",null,null,0,null,0,null,null,null,null,0,Interchange, V ,$0.0400,1.00%, $0.0400 ," $100,000.0000 ", $-   , <= , $15.0000 
2,ACCEL,QSR,5814,null,null,0,null,0,null,null,null,null,0,Interchange, V ,$0.0400,1.00%, $0.0400 ," $100,000.0000 ", $-   , <= , $15.0000 
2,ACCEL,Petroleum,"5541,5542",null,null,0,null,0,null,null,null,null,0,Interchange, V ,$0.0400,1.00%, $0.0400 ," $100,000.0000 ", $-   , <= , $15.0000 
2,ACCEL,All Other Merchant Types,*,null,null,0,null,0,null,null,4I,null,0,Interchange, V ,$0.0400,1.00%, $0.0400 ," $100,000.0000 ", $-   , <= , $15.0000 
2,ACCEL,All Other Merchant Types,*,null,null,0,null,0,null,null,3I,null,0,Interchange, V ,$0.0400,1.00%, $0.0400 ," $100,000.0000 ", $-   , <= , $15.0000 
2,ACCEL,All Other Merchant Types,*,null,null,0,null,0,null,null,2I,null,0,Interchange, V ,$0.0400,1.00%, $0.0400 ," $100,000.0000 ", $-   , <= , $15.0000 
2,ACCEL,All Other Merchant Types,*,null,null,0,null,0,null,null,1I,null,0,Interchange, V ,$0.0600,0.50%, $0.0600 ," $100,000.0000 ", $-   , <= , $15.0000 
2,ACCEL,All,null,null,null,null,null,1,null,null,null,null,0,Interchange, V ,$0.2100,0.05%, $0.2100 ," $100,000.0000 ", $0.0100 , >= , $-   
2,ACCEL,All,null,null,null,null,null,null,null,null,null,null,0,Switch, F ,$0.0400,null, null , null , $-   , >= , $-   
2,ACCEL,All,null,null,null,null,null,null,null,null,null,1,0,Pre Auth, F ,$0.0400,null, null , null , $-   , >= , $-   
2,ACCEL,All,null,null,null,1,null,null,null,null,null,null,0,Interchange, V ,$0.0400,1.55%, $0.0400 ," $100,000.0000 ", $-   , >= , $-   
3,ACCEL ASSURANCE,Grocery / Supermarket,"5411,5300",null,null,0,null,0,null,null,4I,null,0,Interchange, F ,$0.2000,null,null,null, $-   , > , $15.0000 
3,ACCEL ASSURANCE,Grocery / Supermarket,"5411,5300",null,null,0,null,0,null,null,3I,null,0,Interchange, F ,$0.2000,null,null,null, $-   , > , $15.0000 
3,ACCEL ASSURANCE,Grocery / Supermarket,"5411,5300",null,null,0,null,0,null,null,2I,null,0,Interchange, F ,$0.2000,null,null,null, $-   , > , $15.0000 
3,ACCEL ASSURANCE,Grocery / Supermarket,"5411,5300",null,null,0,null,0,null,null,1I,null,0,Interchange, F ,$0.1800,null,null,null, $-   , > , $15.0000 
3,ACCEL ASSURANCE,Grocery / Supermarket,"5411,5300",null,null,0,null,0,null,null,null,null,0,Interchange, V ,$0.0600,1.00%, $0.0600 ," $100,000.0000 ", $-   , <= , $15.0000 
3,ACCEL ASSURANCE,QSR,5814,null,null,0,null,0,null,null,null,null,0,Interchange, V ,$0.1300,0.90%, $0.1300 ," $100,000.0000 ", $-   , > , $15.0000 
3,ACCEL ASSURANCE,QSR,5814,null,null,0,null,0,null,null,null,null,0,Interchange, V ,$0.0600,1.00%, $0.0600 ," $100,000.0000 ", $-   , <= , $15.0000 
3,ACCEL ASSURANCE,Petroleum,"5541,5542",null,null,0,null,0,null,null,null,null,0,Interchange, V ,$0.1800,0.07%, $0.1800 ," $100,000.0000 ", $-   , > , $15.0000 
3,ACCEL ASSURANCE,Petroleum,"5541,5542",null,null,0,null,0,null,null,null,null,0,Interchange, V ,$0.0600,1.00%, $0.0300 ," $100,000.0000 ", $-   , <= , $15.0000 
